url	first_seen	portal	title	company	status
https://www.linkedin.com/jobs/view/principal-customer-success-r5246-at-shield-ai-4432582085	2026-08-22	LinkedIn — CSE DFW/Remote	Principal Customer Success	Shield AI	added
https://www.linkedin.com/jobs/view/interactive-partner-banking-finance-at-tata-consultancy-services-4426993068	2026-08-22	LinkedIn — AM/CP DFW/Remote	Interactive Partner Banking & Finance	Tata Consultancy Services	added
https://jobs.ashbyhq.com/ashby/2b401986-a491-4f9b-9c22-63079bcd64c2	2026-08-22	Ashby — CSE DFW/Remote	Strategic Customer Success Manager	Ashby	added
https://careers-healthedge.icims.com/jobs/8230/sr-customer-success-executive/job	2026-08-22	General — CSE DFW/Remote 2026	Sr Customer Success Executive	HealthEdge	added
https://boards.greenhouse.io/embed/job_app?board_token=10pearlsamerica&token=4365465005	2026-08-22	Greenhouse — AM/CP DFW/Remote	Client Partner	10Pearls	added
https://jobs.ashbyhq.com/ibotta/c363616d-a2c4-4c66-9194-324879723e8b	2026-08-22	Ashby — AM/CP DFW/Remote	Account Manager	Ibotta	skipped_title
https://jobs.ashbyhq.com/ashby/a1c47936-0c48-4738-937e-e88ca596cdfe	2026-08-22	Ashby — CSE DFW/Remote	Manager of Customer Success	Ashby	skipped_title
https://jobs.ashbyhq.com/ashby/38281574-0880-473a-a4f1-bfbb7eedfa18	2026-08-22	Ashby — CSE DFW/Remote	Mid-Market Customer Success Manager	Ashby	skipped_dup
https://jobs.ashbyhq.com/ashby/d46e79d4-43fd-477f-aa06-25b604715223	2026-08-22	Ashby — CSE DFW/Remote	Strategy & Operations Customer Success	Ashby	skipped_title
https://jobs.ashbyhq.com/deepjudge/61daa039-7cad-4c81-91ca-5ea955bef9e4	2026-08-22	Ashby — CSE DFW/Remote	Customer Success Manager	DeepJudge	skipped_title
https://jobs.ashbyhq.com/quora/aa9c9054-7751-4ae8-89ba-1a649a1af076	2026-08-22	Ashby — CSE DFW/Remote	Senior Customer Success Manager	Quora	skipped_title
https://jobs.ashbyhq.com/kit/719cb693-533c-4150-ad29-08b57cfeae16	2026-08-22	Ashby — CSE DFW/Remote	Senior Customer Success Manager	Kit	skipped_title
https://jobs.ashbyhq.com/zippymh/fb8ba9dc-92c5-4a8c-90b5-b66da6a50dee	2026-08-22	Ashby — AM/CP DFW/Remote	Client Relationship Manager	Zippy	skipped_title
https://jobs.lever.co/shieldai	2026-08-22	Lever — CSE DFW/Remote	Senior Manager Customer Success	Shield AI	skipped_dup
https://jobs.lever.co/promenade/11abec14-6a4c-4e6f-b9fc-2713ae92f95a	2026-08-22	Lever — CSE DFW/Remote	Customer Success Manager	Promenade	skipped_title
https://jobs.lever.co/listo/52716172-1f5d-42e9-9374-1726a999487c	2026-08-22	Lever — CSE DFW/Remote	Customer Success Lead	Listo	skipped_title
https://jobs.lever.co/teikametrics/787af8b4-65c4-4dea-940a-c4086dbeacde	2026-08-22	Lever — CSE DFW/Remote	Associate Customer Success Manager	Teikametrics	skipped_title
https://jobs.lever.co/arcadia/878f8c29-b287-488d-b6c0-e65e059f24b4	2026-08-22	Lever — CSE DFW/Remote	Customer Success Manager	Arcadia	skipped_title
https://jobs.lever.co/voltus/74788219-f059-4a07-87f2-4dae2fa20c74	2026-08-22	Lever — CSE DFW/Remote	Customer Success Associate	Voltus	skipped_title
https://jobs.lever.co/tendo/99ced977-aa8d-42c8-a2b2-b22dd1519f0a	2026-08-22	Lever — CSE DFW/Remote	Customer Success Associate	Tendo	skipped_title
https://jobs.lever.co/promenade/a94cdbe0-d138-4420-bd2a-257d7ab01f18	2026-08-22	Lever — CSE DFW/Remote	Customer Success Associate	Promenade	skipped_title
https://jobs.lever.co/peoplegrove/e3c26ef4-fa52-46a2-89b4-1277621352a7	2026-08-22	Lever — CSE DFW/Remote	Client Success Manager	PeopleGrove	skipped_title
https://jobs.lever.co/findigs/37c51018-9413-49a5-98e3-b3ba92b6db47	2026-08-22	Lever — CSE DFW/Remote	Customer Success Manager	Findigs	skipped_title
https://www.linkedin.com/jobs/view/client-success-manager-pbm-at-rightway-4417195490	2026-08-22	LinkedIn — CSE DFW/Remote	Client Success Manager PBM	Rightway	skipped_title
https://www.linkedin.com/jobs/view/erp-implementation-specialist-at-irely-4417776141	2026-08-22	LinkedIn — Implementation DFW/Remote	ERP Implementation Specialist	iRely	skipped_title
https://jobs.lever.co/bounteous/42bac97f-1b14-4826-b8e5-8d1aba4a21e8	2026-08-22	Lever — AM/CP DFW/Remote	VP Client Service (Pharmacy/Provider)	Bounteous	added
https://gigpro.html-5.me/job/enterprise-customer-success-manager-3	2026-08-22	General — CSE DFW/Remote 2026	Enterprise Customer Success Manager	NinjaOne	added
https://jobs.ashbyhq.com/vetcove/ef7399d9-6ddb-4ab9-add5-9f60d1fa55f2	2026-08-22	Ashby — CSE DFW/Remote	Account Manager / Customer Success	Vetcove	added
https://jobs.ashbyhq.com/deepjudge/61daa039-7cad-4c81-91ca-5ea955bef9e4	2026-08-22	Ashby — CSE DFW/Remote	Customer Success Manager	DeepJudge	added
https://jobs.ashbyhq.com/quora/aa9c9054-7751-4ae8-89ba-1a649a1af076	2026-08-22	Ashby — CSE DFW/Remote	Senior Customer Success Manager	Quora	added
https://jobs.ashbyhq.com/kit/719cb693-533c-4150-ad29-08b57cfeae16	2026-08-22	Ashby — CSE DFW/Remote	Senior Customer Success Manager	Kit	added
https://jobs.ashbyhq.com/ibotta/c363616d-a2c4-4c66-9194-324879723e8b	2026-08-22	Ashby — AM/CP DFW/Remote	Account Manager	Ibotta	added
https://jobs.ashbyhq.com/sondermind/faa86497-be8a-4006-aa6c-533a8bf9d35d	2026-08-22	Ashby — AM/CP DFW/Remote	Account Manager Health Plans	SonderMind	added
https://jobs.ashbyhq.com/rula/e6182caa-4c3e-4ede-b73f-ac7a48b23a87	2026-08-22	Ashby — CSE DFW/Remote	Sr Healthcare Partnerships Associate	Rula	skipped_title
https://jobs.ashbyhq.com/zippymh/fb8ba9dc-92c5-4a8c-90b5-b66da6a50dee	2026-08-22	Ashby — AM/CP DFW/Remote	Client Relationship Manager	Zippy	skipped_title
https://jobs.ashbyhq.com/n8n/d550716c-8cb9-4efe-9a52-b4cd67e193e1	2026-08-22	Ashby — CSE DFW/Remote	Scaled Customer Success (Europe)	n8n	skipped_title
https://jobs.ashbyhq.com/slash-financial/2c54ef2c-da99-4ef1-a5c8-e0fba803e219	2026-08-22	Ashby — CSE DFW/Remote	Customer Success Agent	Slash Financial	skipped_title
https://jobs.ashbyhq.com/directive/cb336b35-4d0f-4966-8d4b-9eb8f6cf0f06	2026-08-22	Ashby — AM/CP DFW/Remote	Senior Revenue Operations Manager	Directive	skipped_title
https://jobs.ashbyhq.com/sondermind/cc85b147-429c-45a5-a685-87a41f4087de	2026-08-22	Ashby — AM/CP DFW/Remote	Director Payor Strategy	SonderMind	skipped_title
https://jobs.ashbyhq.com/sondermind/bd76b4de-4fda-4a26-ae3a-9ce870d34076	2026-08-22	Ashby — AM/CP DFW/Remote	Senior VA Account Manager	SonderMind	skipped_title
https://jobs.lever.co/shieldai/c8a795a0-0155-4cce-8f43-c504756f34a3	2026-08-22	Lever — CSE DFW/Remote	Staff Customer Success Manager	Shield AI	added
https://jobs.lever.co/bounteous/42bac97f-1b14-4826-b8e5-8d1aba4a21e8	2026-08-22	Lever — AM/CP DFW/Remote	VP Client Service	Bounteous	skipped_dup
https://jobs.lever.co/listo/52716172-1f5d-42e9-9374-1726a999487c	2026-08-22	Lever — CSE DFW/Remote	Customer Success Lead	Listo	added
https://jobs.lever.co/peoplegrove/e3c26ef4-fa52-46a2-89b4-1277621352a7	2026-08-22	Lever — CSE DFW/Remote	Client Success Manager	PeopleGrove	skipped_title
